date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:21	327523/327523	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2013:06:21%20GMT	https://fotobot-1oop.b12sites.com/index	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/index.html	(from )
18:36:22	51/51	---M--	200	added ('OK')	text/plain	date:Thu,%2005%20Sep%202024%2013:06:22%20GMT	https://fotobot-1oop.b12sites.com/robots.txt		(from )
18:36:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:24%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-400.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-400.2.delayed	(from https://fotobot-1oop.b12sites.com/index)
18:36:24	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/mynewproject/code.jquery.com/jquery-3.3.1.min.js	(from https://fotobot-1oop.b12sites.com/index)
18:36:25	8436/8436	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:25%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-400.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-400.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:25%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-400.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:27%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-400.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-400.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:27	23632/23632	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:27%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-400.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:28%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-500.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-500.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:28	26464/26464	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:28%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-400.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-400.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:30	8436/8436	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:30%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-500.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-500.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:30%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-500.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:32%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-500.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-500.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:32	23632/23632	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:31%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-500.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:33	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:33%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-600.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-600.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:33	26464/26464	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:33%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-500.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-500.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:35	8436/8436	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:35%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-600.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-600.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:35%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-600.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:36	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:36%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-600.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-600.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:36	23632/23632	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:36%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-ext-normal-600.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2005%20Sep%202024%2013:06:38%20GMT	http://fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-700.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-vietnamese-normal-700.woff2	(from https://fotobot-1oop.b12sites.com/index)
18:36:38	26464/26464	---M--	200	added ('OK')	font/woff2	date:Thu,%2005%20Sep%202024%2013:06:38%20GMT	https://fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-600.woff2	C:/My%20Web%20Sites/mynewproject/fotobot-1oop.b12sites.com/assets/fonts/muli-latin-normal-600.woff2	(from https://fotobot-1oop.b12sites.com/index)
